index,Gene symbol,HGNC ID,UniProt ID(s)
642,AMY1C,HGNC:476,P0DTE8
643,AMY2A,HGNC:477,P04746
644,AMY2B,HGNC:478,P19961
645,AMZ1,HGNC:22231,Q400G9
646,AMZ2,HGNC:28041,Q86W34
647,ANAPC1,HGNC:19988,Q9H1A4
648,ANAPC2,HGNC:19989,Q9UJX6
649,ANAPC4,HGNC:19990,Q9UJX5
650,ANAPC5,HGNC:15713,Q9UJX4
651,ANAPC7,HGNC:17380,Q9UJX3
652,ANAPC10,HGNC:24077,Q9UM13
653,ANAPC11,HGNC:14452,Q9NYG5
654,ANAPC13,HGNC:24540,Q9BS18
655,ANAPC15,HGNC:24531,P60006
656,ANAPC16,HGNC:26976,Q96DE5
657,ANG,HGNC:483,P03950
658,ANGEL1,HGNC:19961,Q9UNK9
659,ANGEL2,HGNC:30534,Q5VTE6
660,ANGPT1,HGNC:484,Q15389
661,ANGPT2,HGNC:485,O15123
662,ANGPT4,HGNC:487,Q9Y264
663,ANGPTL1,HGNC:489,O95841
664,ANGPTL2,HGNC:490,Q9UKU9
665,ANGPTL3,HGNC:491,Q9Y5C1
666,ANGPTL4,HGNC:16039,Q9BY76
667,ANGPTL5,HGNC:19705,Q86XS5
668,ANGPTL6,HGNC:23140,Q8NI99
669,ANGPTL7,HGNC:24078,O43827
670,ANGPTL8,HGNC:24933,Q6UXH0
671,ANHX,HGNC:40024,E9PGG2
672,ANK1,HGNC:492,P16157
673,ANK2,HGNC:493,Q01484
674,ANK3,HGNC:494,Q12955
675,ANKAR,HGNC:26350,Q7Z5J8
676,ANKDD1A,HGNC:28002,Q495B1
677,ANKDD1B,HGNC:32525,A6NHY2
678,ANKEF1,HGNC:15803,Q9NU02
679,ANKFN1,HGNC:26766,Q8N957
680,ANKFY1,HGNC:20763,Q9P2R3
681,ANKH,HGNC:15492,Q9HCJ1
682,ANKHD1,HGNC:24714,Q8IWZ3
683,ANKIB1,HGNC:22215,Q9P2G1
684,ANKK1,HGNC:21027,Q8NFD2
685,ANKLE1,HGNC:26812,Q8NAG6
686,ANKLE2,HGNC:29101,Q86XL3
687,ANKMY1,HGNC:20987,Q9P2S6
688,ANKMY2,HGNC:25370,Q8IV38
689,ANKRA2,HGNC:13208,Q9H9E1
690,ANKRD1,HGNC:15819,Q15327
691,ANKRD2,HGNC:495,Q9GZV1
692,ANKRD6,HGNC:17280,Q9Y2G4
693,ANKRD7,HGNC:18588,Q92527
694,ANKRD9,HGNC:20096,Q96BM1
695,ANKRD10,HGNC:20265,Q9NXR5
696,ANKRD11,HGNC:21316,Q6UB99
697,ANKRD12,HGNC:29135,Q6UB98
698,ANKRD13A,HGNC:21268,Q8IZ07
699,ANKRD13B,HGNC:26363,Q86YJ7
700,ANKRD13C,HGNC:25374,Q8N6S4
701,ANKRD13D,HGNC:27880,Q6ZTN6
702,ANKRD16,HGNC:23471,Q6P6B7
703,ANKRD17,HGNC:23575,O75179
704,ANKRD18A,HGNC:23643,Q8IVF6
705,ANKRD18B,HGNC:23644,A2A2Z9
706,ANKRD20A1,HGNC:23665,Q5TYW2
707,ANKRD22,HGNC:28321,Q5VYY1
708,ANKRD23,HGNC:24470,Q86SG2
709,ANKRD24,HGNC:29424,Q8TF21
710,ANKRD26,HGNC:29186,Q9UPS8
711,ANKRD27,HGNC:25310,Q96NW4
712,ANKRD28,HGNC:29024,O15084
713,ANKRD29,HGNC:27110,Q8N6D5
714,ANKRD30A,HGNC:17234,Q9BXX3
715,ANKRD30B,HGNC:24165,Q9BXX2
716,ANKRD30BL,HGNC:35167,A7E2S9
717,ANKRD31,HGNC:26853,Q8N7Z5
718,ANKRD33,HGNC:13788,Q7Z3H0
719,ANKRD33B,HGNC:35240,A6NCL7
720,ANKRD34A,HGNC:27639,Q69YU3
721,ANKRD34B,HGNC:33736,A5PLL1
722,ANKRD34C,HGNC:33888,P0C6C1
723,ANKRD35,HGNC:26323,Q8N283
724,ANKRD36,HGNC:24079,A6QL64
725,ANKRD36B,HGNC:29333,Q8N2N9
726,ANKRD36C,HGNC:32946,Q5JPF3
727,ANKRD37,HGNC:29593,Q7Z713
728,ANKRD39,HGNC:28640,Q53RE8
729,ANKRD40,HGNC:28233,Q6AI12
730,ANKRD40CL,HGNC:26080,Q53H64
731,ANKRD42,HGNC:26752,Q8N9B4
732,ANKRD44,HGNC:25259,Q8N8A2
733,ANKRD45,HGNC:24786,Q5TZF3
734,ANKRD46,HGNC:27229,Q86W74
735,ANKRD49,HGNC:25970,Q8WVL7
736,ANKRD50,HGNC:29223,Q9ULJ7
737,ANKRD52,HGNC:26614,Q8NB46
738,ANKRD53,HGNC:25691,Q8N9V6
739,ANKRD54,HGNC:25185,Q6NXT1
740,ANKRD55,HGNC:25681,Q3KP44
741,ANKRD60,HGNC:16217,Q9BZ19
742,ANKRD61,HGNC:22467,A6NGH8
743,ANKRD62,HGNC:35241,A6NC57
744,ANKRD63,HGNC:40027,C9JTQ0
745,ANKRD65,HGNC:42950,E5RJM6
746,ANKRD66,HGNC:44669,B4E2M5
747,ANKS1A,HGNC:20961,Q92625
748,ANKS1B,HGNC:24600,Q7Z6G8
749,ANKS3,HGNC:29422,Q6ZW76
750,ANKS4B,HGNC:26795,Q8N8V4
751,ANKS6,HGNC:26724,Q68DC2
752,ANKUB1,HGNC:29642,A6NFN9
753,ANKZF1,HGNC:25527,Q9H8Y5
754,ANLN,HGNC:14082,Q9NQW6
755,ANO1,HGNC:21625,Q5XXA6
756,ANO2,HGNC:1183,Q9NQ90
757,ANO3,HGNC:14004,Q9BYT9
758,ANO4,HGNC:23837,Q32M45
759,ANO5,HGNC:27337,Q75V66
760,ANO6,HGNC:25240,Q4KMQ2
761,ANO7,HGNC:31677,Q6IWH7
762,ANO8,HGNC:29329,Q9HCE9
763,ANO9,HGNC:20679,A1A5B4
764,ANO10,HGNC:25519,Q9NW15
765,ANOS1,HGNC:6211,P23352
766,ANP32A,HGNC:13233,P39687
767,ANP32B,HGNC:16677,Q92688
768,ANP32D,HGNC:16676,O95626
769,ANP32E,HGNC:16673,Q9BTT0
770,ANPEP,HGNC:500,P15144
771,ANTKMT,HGNC:14152,Q9BQD7
772,ANTXR1,HGNC:21014,Q9H6X2
773,ANTXR2,HGNC:21732,P58335
774,ANTXRL,HGNC:27277,A6NF34
775,ANXA1,HGNC:533,P04083
776,ANXA2,HGNC:537,P07355
777,ANXA2R,HGNC:33463,Q3ZCQ2
778,ANXA3,HGNC:541,P12429
779,ANXA4,HGNC:542,P09525
780,ANXA5,HGNC:543,P08758
781,ANXA6,HGNC:544,P08133
782,ANXA7,HGNC:545,P20073
783,ANXA8,HGNC:546,P13928
784,ANXA8L1,HGNC:23334,Q5VT79
785,ANXA9,HGNC:547,O76027
786,ANXA10,HGNC:534,Q9UJ72
787,ANXA11,HGNC:535,P50995
788,ANXA13,HGNC:536,P27216
789,AOAH,HGNC:548,P28039
790,AOC1,HGNC:80,P19801
791,AOC2,HGNC:549,O75106
792,AOC3,HGNC:550,Q16853
793,AOPEP,HGNC:1361,Q8N6M6
794,AOX1,HGNC:553,Q06278
795,AP1AR,HGNC:28808,Q63HQ0
796,AP1B1,HGNC:554,Q10567
797,AP1G1,HGNC:555,O43747
798,AP1G2,HGNC:556,O75843
799,AP1M1,HGNC:13667,Q9BXS5
800,AP1M2,HGNC:558,Q9Y6Q5
801,AP1S1,HGNC:559,P61966
802,AP1S2,HGNC:560,P56377
803,AP1S3,HGNC:18971,Q96PC3
804,AP2A1,HGNC:561,O95782
805,AP2A2,HGNC:562,O94973
806,AP2B1,HGNC:563,P63010
807,AP2M1,HGNC:564,Q96CW1
808,AP2S1,HGNC:565,P53680
809,AP3B1,HGNC:566,O00203
810,AP3B2,HGNC:567,Q13367
811,AP3D1,HGNC:568,O14617
812,AP3M1,HGNC:569,Q9Y2T2
813,AP3M2,HGNC:570,P53677
814,AP3S1,HGNC:2013,Q92572
815,AP3S2,HGNC:571,P59780
816,AP4B1,HGNC:572,Q9Y6B7
817,AP4E1,HGNC:573,Q9UPM8
818,AP4M1,HGNC:574,O00189
819,AP4S1,HGNC:575,Q9Y587
820,AP5B1,HGNC:25104,Q2VPB7
821,AP5M1,HGNC:20192,Q9H0R1
822,AP5S1,HGNC:15875,Q9NUS5
823,AP5Z1,HGNC:22197,O43299
824,APAF1,HGNC:576,O14727
825,APBA1,HGNC:578,Q02410
826,APBA2,HGNC:579,Q99767
827,APBA3,HGNC:580,O96018
828,APBB1,HGNC:581,O00213
829,APBB1IP,HGNC:17379,Q7Z5R6
830,APBB2,HGNC:582,Q92870
831,APBB3,HGNC:20708,O95704
832,APC,HGNC:583,P25054
833,APC2,HGNC:24036,O95996
834,APCDD1,HGNC:15718,Q8J025
835,APCDD1L,HGNC:26892,Q8NCL9
836,APCS,HGNC:584,P02743
837,APEH,HGNC:586,P13798
838,APELA,HGNC:48925,P0DMC3
839,APEX1,HGNC:587,P27695
840,APEX2,HGNC:17889,Q9UBZ4
841,APH1A,HGNC:29509,Q96BI3
842,APH1B,HGNC:24080,Q8WW43
843,API5,HGNC:594,Q9BZZ5
844,APIP,HGNC:17581,Q96GX9
845,APLF,HGNC:28724,Q8IW19
846,APLN,HGNC:16665,Q9ULZ1
847,APLNR,HGNC:339,P35414
848,APLP1,HGNC:597,P51693
849,APLP2,HGNC:598,Q06481
850,APMAP,HGNC:13238,Q9HDC9
851,APOA1,HGNC:600,P02647
852,APOA2,HGNC:601,P02652
853,APOA4,HGNC:602,P06727
854,APOA5,HGNC:17288,Q6Q788
855,APOB,HGNC:603,P04114
856,APOBEC1,HGNC:604,P41238
857,APOBEC2,HGNC:605,Q9Y235
858,APOBEC3A,HGNC:17343,P31941
859,APOBEC3B,HGNC:17352,Q9UH17
860,APOBEC3C,HGNC:17353,Q9NRW3
861,APOBEC3D,HGNC:17354,Q96AK3
862,APOBEC3F,HGNC:17356,Q8IUX4
863,APOBEC3G,HGNC:17357,Q9HC16
864,APOBEC3H,HGNC:24100,Q6NTF7
865,APOBEC4,HGNC:32152,Q8WW27
866,APOBR,HGNC:24087,Q0VD83
867,APOC1,HGNC:607,P02654
868,APOC2,HGNC:609,P02655
869,APOC3,HGNC:610,P02656
870,APOC4,HGNC:611,P55056
871,APOD,HGNC:612,P05090
872,APOE,HGNC:613,P02649
873,APOF,HGNC:615,Q13790
874,APOH,HGNC:616,P02749
875,APOL1,HGNC:618,O14791
876,APOL2,HGNC:619,Q9BQE5
877,APOL3,HGNC:14868,O95236
878,APOL4,HGNC:14867,Q9BPW4
879,APOL5,HGNC:14869,Q9BWW9
880,APOL6,HGNC:14870,Q9BWW8
881,APOLD1,HGNC:25268,Q96LR9
882,APOM,HGNC:13916,O95445
883,APOO,HGNC:28727,Q9BUR5
884,APOOL,HGNC:24009,Q6UXV4
885,APP,HGNC:620,P05067
886,APPBP2,HGNC:622,Q92624
887,APPL1,HGNC:24035,Q9UKG1
888,APPL2,HGNC:18242,Q8NEU8
889,APRT,HGNC:626,P07741
890,APTX,HGNC:15984,Q7Z2E3
891,AQP1,HGNC:633,P29972
892,AQP2,HGNC:634,P41181
893,AQP3,HGNC:636,Q92482
894,AQP4,HGNC:637,P55087
895,AQP5,HGNC:638,P55064
896,AQP6,HGNC:639,Q13520
897,AQP7,HGNC:640,O14520
898,AQP7B,HGNC:53895,A0A075B734
899,AQP8,HGNC:642,O94778
900,AQP9,HGNC:643,O43315
901,AQP10,HGNC:16029,Q96PS8
902,AQP11,HGNC:19940,Q8NBQ7
903,AQP12A,HGNC:19941,Q8IXF9
904,AQP12B,HGNC:6096,A6NM10
905,AQR,HGNC:29513,O60306
906,AR,HGNC:644,P10275
907,ARAF,HGNC:646,P10398
908,ARAP1,HGNC:16925,Q96P48
909,ARAP2,HGNC:16924,Q8WZ64
910,ARAP3,HGNC:24097,Q8WWN8
911,ARB2A,HGNC:25365,Q8WUF8
912,ARC,HGNC:648,Q7LC44
913,ARCN1,HGNC:649,P48444
914,AREG,HGNC:651,P15514
915,AREL1,HGNC:20363,O15033
916,ARF1,HGNC:652,P84077
917,ARF3,HGNC:654,P61204
918,ARF4,HGNC:655,P18085
919,ARF5,HGNC:658,P84085
920,ARF6,HGNC:659,P62330
921,ARFGAP1,HGNC:15852,Q8N6T3
922,ARFGAP2,HGNC:13504,Q8N6H7
923,ARFGAP3,HGNC:661,Q9NP61
924,ARFGEF1,HGNC:15772,Q9Y6D6
925,ARFGEF2,HGNC:15853,Q9Y6D5
926,ARFGEF3,HGNC:21213,Q5TH69
927,ARFIP1,HGNC:21496,P53367
928,ARFIP2,HGNC:17160,P53365
929,ARFRP1,HGNC:662,Q13795
930,ARG1,HGNC:663,P05089
931,ARG2,HGNC:664,P78540
932,ARGFX,HGNC:30146,A6NJG6
933,ARGLU1,HGNC:25482,Q9NWB6
934,ARHGAP1,HGNC:673,Q07960
935,ARHGAP4,HGNC:674,P98171
936,ARHGAP5,HGNC:675,Q13017
937,ARHGAP6,HGNC:676,O43182
938,ARHGAP8,HGNC:677,P85298
939,ARHGAP9,HGNC:14130,Q9BRR9
940,ARHGAP10,HGNC:26099,A1A4S6
941,ARHGAP11A,HGNC:15783,Q6P4F7
942,ARHGAP11B,HGNC:15782,Q3KRB8
943,ARHGAP12,HGNC:16348,Q8IWW6
944,ARHGAP15,HGNC:21030,Q53QZ3
945,ARHGAP17,HGNC:18239,Q68EM7
946,ARHGAP18,HGNC:21035,Q8N392
947,ARHGAP19,HGNC:23724,Q14CB8
948,ARHGAP20,HGNC:18357,Q9P2F6
949,ARHGAP21,HGNC:23725,Q5T5U3
950,ARHGAP22,HGNC:30320,Q7Z5H3
951,ARHGAP23,HGNC:29293,Q9P227
952,ARHGAP24,HGNC:25361,Q8N264
953,ARHGAP25,HGNC:28951,P42331
954,ARHGAP26,HGNC:17073,Q9UNA1
955,ARHGAP27,HGNC:31813,Q6ZUM4
956,ARHGAP28,HGNC:25509,Q9P2N2
957,ARHGAP29,HGNC:30207,Q52LW3
958,ARHGAP30,HGNC:27414,Q7Z6I6
959,ARHGAP31,HGNC:29216,Q2M1Z3
960,ARHGAP32,HGNC:17399,A7KAX9
961,ARHGAP33,HGNC:23085,O14559
962,ARHGAP35,HGNC:4591,Q9NRY4
963,ARHGAP36,HGNC:26388,Q6ZRI8
964,ARHGAP39,HGNC:29351,Q9C0H5
965,ARHGAP40,HGNC:16226,Q5TG30
966,ARHGAP42,HGNC:26545,A6NI28
967,ARHGAP44,HGNC:29096,Q17R89
968,ARHGAP45,HGNC:17102,Q92619
969,ARHGDIA,HGNC:678,P52565
970,ARHGDIB,HGNC:679,P52566
971,ARHGDIG,HGNC:680,Q99819
972,ARHGEF1,HGNC:681,Q92888
973,ARHGEF2,HGNC:682,Q92974
974,ARHGEF3,HGNC:683,Q9NR81
975,ARHGEF4,HGNC:684,Q9NR80
976,ARHGEF5,HGNC:13209,Q12774
977,ARHGEF6,HGNC:685,Q15052
978,ARHGEF7,HGNC:15607,Q14155
979,ARHGEF9,HGNC:14561,O43307
980,ARHGEF10,HGNC:14103,O15013
981,ARHGEF10L,HGNC:25540,Q9HCE6
982,ARHGEF11,HGNC:14580,O15085
983,ARHGEF12,HGNC:14193,Q9NZN5
984,ARHGEF15,HGNC:15590,O94989
985,ARHGEF16,HGNC:15515,Q5VV41
986,ARHGEF17,HGNC:21726,Q96PE2
987,ARHGEF18,HGNC:17090,Q6ZSZ5
988,ARHGEF19,HGNC:26604,Q8IW93
989,ARHGEF25,HGNC:30275,Q86VW2
990,ARHGEF26,HGNC:24490,Q96DR7
991,ARHGEF28,HGNC:30322,Q8N1W1
992,ARHGEF33,HGNC:37252,A8MVX0
993,ARHGEF35,HGNC:33846,A5YM69
994,ARHGEF37,HGNC:34430,A1IGU5
995,ARHGEF38,HGNC:25968,Q9NXL2
996,ARHGEF39,HGNC:25909,Q8N4T4
997,ARHGEF40,HGNC:25516,Q8TER5
998,ARID1A,HGNC:11110,O14497
999,ARID1B,HGNC:18040,Q8NFD5
1000,ARID2,HGNC:18037,Q68CP9
1001,ARID3A,HGNC:3031,Q99856
1002,ARID3B,HGNC:14350,Q8IVW6
1003,ARID3C,HGNC:21209,A6NKF2
1004,ARID4A,HGNC:9885,P29374
1005,ARID4B,HGNC:15550,Q4LE39
1006,ARID5A,HGNC:17361,Q03989
1007,ARID5B,HGNC:17362,Q14865
1008,ARIH1,HGNC:689,Q9Y4X5
1009,ARIH2,HGNC:690,O95376
1010,ARK2C,HGNC:31696,Q6ZSG1
1011,ARK2N,HGNC:28172,Q96B23
1012,ARL1,HGNC:692,P40616
1013,ARL2,HGNC:693,P36404
1014,ARL2BP,HGNC:17146,Q9Y2Y0
1015,ARL3,HGNC:694,P36405
1016,ARL4A,HGNC:695,P40617
1017,ARL4C,HGNC:698,P56559
1018,ARL4D,HGNC:656,P49703
1019,ARL5A,HGNC:696,Q9Y689
1020,ARL5B,HGNC:23052,Q96KC2
1021,ARL5C,HGNC:31111,A6NH57
1022,ARL6,HGNC:13210,Q9H0F7
1023,ARL6IP1,HGNC:697,Q15041
1024,ARL6IP4,HGNC:18076,Q66PJ3
1025,ARL6IP5,HGNC:16937,O75915
1026,ARL6IP6,HGNC:24048,Q8N6S5
1027,ARL8A,HGNC:25192,Q96BM9
1028,ARL8B,HGNC:25564,Q9NVJ2
1029,ARL9,HGNC:23592,Q6T311
1030,ARL10,HGNC:22042,Q8N8L6
1031,ARL11,HGNC:24046,Q969Q4
1032,ARL13A,HGNC:31709,Q5H913
1033,ARL13B,HGNC:25419,Q3SXY8
1034,ARL14,HGNC:22974,Q8N4G2
1035,ARL14EP,HGNC:26798,Q8N8R7
1036,ARL14EPL,HGNC:44201,P0DKL9
1037,ARL15,HGNC:25945,Q9NXU5
1038,ARL16,HGNC:27902,Q0P5N6
1039,ARL17A,HGNC:24096,Q8IVW1
1040,ARL17B,HGNC:32387,Q8IVW1
1041,ARMC1,HGNC:17684,Q9NVT9
1042,ARMC2,HGNC:23045,Q8NEN0
1043,ARMC3,HGNC:30964,Q5W041
1044,ARMC5,HGNC:25781,Q96C12
1045,ARMC6,HGNC:25049,Q6NXE6
1046,ARMC7,HGNC:26168,Q9H6L4
1047,ARMC8,HGNC:24999,Q8IUR7
1048,ARMC9,HGNC:20730,Q7Z3E5
1049,ARMC10,HGNC:21706,Q8N2F6
1050,ARMC12,HGNC:21099,Q5T9G4
1051,ARMCX1,HGNC:18073,Q9P291
1052,ARMCX2,HGNC:16869,Q7L311
1053,ARMCX3,HGNC:24065,Q9UH62
1054,ARMCX4,HGNC:28615,Q5H9R4
1055,ARMCX5,HGNC:25772,Q6P1M9
1056,ARMCX6,HGNC:26094,Q7L4S7
1057,ARMH1,HGNC:34345,Q6PIY5
1058,ARMH2,HGNC:49394,H3BNL8
1059,ARMH3,HGNC:25788,Q5T2E6
1060,ARMH4,HGNC:19846,Q86TY3
1061,ARMS2,HGNC:32685,P0C7Q2
1062,ARMT1,HGNC:17872,Q9H993
1063,ARNT,HGNC:700,P27540
1064,ARNT2,HGNC:16876,Q9HBZ2
1065,ARPC1A,HGNC:703,Q92747
1066,ARPC1B,HGNC:704,O15143
1067,ARPC2,HGNC:705,O15144
1068,ARPC3,HGNC:706,O15145
1069,ARPC4,HGNC:707,P59998
1070,ARPC5,HGNC:708,O15511
1071,ARPC5L,HGNC:23366,Q9BPX5
1072,ARPIN,HGNC:28782,Q7Z6K5
1073,ARPP19,HGNC:16967,P56211
1074,ARPP21,HGNC:16968,Q9UBL0
1075,ARR3,HGNC:710,P36575
1076,ARRB1,HGNC:711,P49407
1077,ARRB2,HGNC:712,P32121
1078,ARRDC1,HGNC:28633,Q8N5I2
1079,ARRDC2,HGNC:25225,Q8TBH0
1080,ARRDC3,HGNC:29263,Q96B67
1081,ARRDC4,HGNC:28087,Q8NCT1
1082,ARRDC5,HGNC:31407,A6NEK1
1083,ARSA,HGNC:713,P15289
1084,ARSB,HGNC:714,P15848
1085,ARSD,HGNC:717,P51689
1086,ARSF,HGNC:721,P54793
1087,ARSG,HGNC:24102,Q96EG1
1088,ARSH,HGNC:32488,Q5FYA8
1089,ARSI,HGNC:32521,Q5FYB1
1090,ARSJ,HGNC:26286,Q5FYB0
1091,ARSK,HGNC:25239,Q6UWY0
1092,ARSL,HGNC:719,P51690
1093,ART1,HGNC:723,P52961
1094,ART3,HGNC:725,Q13508
1095,ART4,HGNC:726,Q93070
1096,ART5,HGNC:24049,Q96L15
1097,ARTN,HGNC:727,Q5T4W7
1098,ARV1,HGNC:29561,Q9H2C2
1099,ARVCF,HGNC:728,O00192
1100,ARX,HGNC:18060,Q96QS3
1101,AS3MT,HGNC:17452,Q9HBK9
1102,ASAH1,HGNC:735,Q13510
1103,ASAH2,HGNC:18860,Q9NR71
1104,ASAH2B,HGNC:23456,P0C7U1
1105,ASAP1,HGNC:2720,Q9ULH1
1106,ASAP2,HGNC:2721,O43150
1107,ASAP3,HGNC:14987,Q8TDY4
1108,ASB1,HGNC:16011,Q9Y576
1109,ASB2,HGNC:16012,Q96Q27
1110,ASB3,HGNC:16013,Q9Y575
1111,ASB4,HGNC:16009,Q9Y574
1112,ASB5,HGNC:17180,Q8WWX0
1113,ASB6,HGNC:17181,Q9NWX5
1114,ASB7,HGNC:17182,Q9H672
1115,ASB8,HGNC:17183,Q9H765
1116,ASB9,HGNC:17184,Q96DX5
1117,ASB10,HGNC:17185,Q8WXI3
1118,ASB11,HGNC:17186,Q8WXH4
1119,ASB12,HGNC:19763,Q8WXK4
1120,ASB13,HGNC:19765,Q8WXK3
1121,ASB14,HGNC:19766,A6NK59
1122,ASB15,HGNC:19767,Q8WXK1
1123,ASB16,HGNC:19768,Q96NS5
1124,ASB17,HGNC:19769,Q8WXJ9
1125,ASB18,HGNC:19770,Q6ZVZ8
1126,ASCC1,HGNC:24268,Q8N9N2
1127,ASCC2,HGNC:24103,Q9H1I8
1128,ASCC3,HGNC:18697,Q8N3C0
1129,ASCL1,HGNC:738,P50553
1130,ASCL2,HGNC:739,Q99929
1131,ASCL3,HGNC:740,Q9NQ33
1132,ASCL4,HGNC:24311,Q6XD76
1133,ASCL5,HGNC:33169,Q7RTU5
1134,ASDURF,HGNC:53619,L0R819
1135,ASF1A,HGNC:20995,Q9Y294
1136,ASF1B,HGNC:20996,Q9NVP2
1137,ASGR1,HGNC:742,P07306
1138,ASGR2,HGNC:743,P07307
1139,ASH1L,HGNC:19088,Q9NR48
1140,ASH2L,HGNC:744,Q9UBL3
1141,ASIC1,HGNC:100,P78348
1142,ASIC2,HGNC:99,Q16515
1143,ASIC3,HGNC:101,Q9UHC3
1144,ASIC4,HGNC:21263,Q96FT7
1145,ASIC5,HGNC:17537,Q9NY37
1146,ASIP,HGNC:745,P42127
1147,ASL,HGNC:746,P04424
1148,ASMT,HGNC:750,P46597
1149,ASMTL,HGNC:751,O95671
1150,ASNS,HGNC:753,P08243
1151,ASNSD1,HGNC:24910,Q9NWL6
1152,ASPA,HGNC:756,P45381
1153,ASPDH,HGNC:33856,A6ND91
1154,ASPG,HGNC:20123,Q86U10
1155,ASPH,HGNC:757,Q12797
1156,ASPHD1,HGNC:27380,Q5U4P2
1157,ASPHD2,HGNC:30437,Q6ICH7
1158,ASPM,HGNC:19048,Q8IZT6
1159,ASPN,HGNC:14872,Q9BXN1
1160,ASPRV1,HGNC:26321,Q53RT3
1161,ASPSCR1,HGNC:13825,Q9BZE9
1162,ASRGL1,HGNC:16448,Q7L266
1163,ASS1,HGNC:758,P00966
1164,ASTE1,HGNC:25021,Q2TB18
1165,ASTL,HGNC:31704,Q6HA08
1166,ASTN1,HGNC:773,O14525
1167,ASTN2,HGNC:17021,O75129
1168,ASXL1,HGNC:18318,Q8IXJ9
1169,ASXL2,HGNC:23805,Q76L83
1170,ASXL3,HGNC:29357,Q9C0F0
1171,ASZ1,HGNC:1350,Q8WWH4
1172,ATAD1,HGNC:25903,Q8NBU5
1173,ATAD2,HGNC:30123,Q6PL18
1174,ATAD2B,HGNC:29230,Q9ULI0
1175,ATAD3A,HGNC:25567,Q9NVI7
1176,ATAD3B,HGNC:24007,Q5T9A4
1177,ATAD3C,HGNC:32151,Q5T2N8
1178,ATAD5,HGNC:25752,Q96QE3
1179,ATAT1,HGNC:21186,Q5SQI0
1180,ATCAY,HGNC:779,Q86WG3
1181,ATE1,HGNC:782,O95260
1182,ATF1,HGNC:783,P18846
1183,ATF2,HGNC:784,P15336
1184,ATF3,HGNC:785,P18847
1185,ATF4,HGNC:786,P18848
1186,ATF5,HGNC:790,Q9Y2D1
1187,ATF6,HGNC:791,P18850
1188,ATF6B,HGNC:2349,Q99941
1189,ATF7,HGNC:792,P17544
1190,ATF7IP,HGNC:20092,Q6VMQ6
1191,ATF7IP2,HGNC:20397,Q5U623
1192,ATG2A,HGNC:29028,Q2TAZ0
1193,ATG2B,HGNC:20187,Q96BY7
1194,ATG3,HGNC:20962,Q9NT62
1195,ATG4A,HGNC:16489,Q8WYN0
1196,ATG4B,HGNC:20790,Q9Y4P1
1197,ATG4C,HGNC:16040,Q96DT6
1198,ATG4D,HGNC:20789,Q86TL0
1199,ATG5,HGNC:589,Q9H1Y0
1200,ATG7,HGNC:16935,O95352
1201,ATG9A,HGNC:22408,Q7Z3C6
1202,ATG9B,HGNC:21899,Q674R7
1203,ATG10,HGNC:20315,Q9H0Y0
1204,ATG12,HGNC:588,O94817
1205,ATG13,HGNC:29091,O75143
1206,ATG14,HGNC:19962,Q6ZNE5
1207,ATG16L1,HGNC:21498,Q676U5
1208,ATG16L2,HGNC:25464,Q8NAA4
1209,ATG101,HGNC:25679,Q9BSB4
1210,ATIC,HGNC:794,P31939
1211,ATL1,HGNC:11231,Q8WXF7
1212,ATL2,HGNC:24047,Q8NHH9
1213,ATL3,HGNC:24526,Q6DD88
1214,ATM,HGNC:795,Q13315
1215,ATMIN,HGNC:29034,O43313
1216,ATN1,HGNC:3033,P54259
1217,ATOH1,HGNC:797,Q92858
1218,ATOH7,HGNC:13907,Q8N100
1219,ATOH8,HGNC:24126,Q96SQ7
1220,ATOSA,HGNC:25609,Q32MH5
1221,ATOSB,HGNC:25666,Q7L5A3
1222,ATOX1,HGNC:798,O00244
1223,ATP1A1,HGNC:799,P05023
1224,ATP1A2,HGNC:800,P50993
1225,ATP1A3,HGNC:801,P13637
1226,ATP1A4,HGNC:14073,Q13733
1227,ATP1B1,HGNC:804,P05026
1228,ATP1B2,HGNC:805,P14415
1229,ATP1B3,HGNC:806,P54709
1230,ATP1B4,HGNC:808,Q9UN42
1231,ATP2A1,HGNC:811,O14983
1232,ATP2A2,HGNC:812,P16615
1233,ATP2A3,HGNC:813,Q93084
1234,ATP2B1,HGNC:814,P20020
1235,ATP2B2,HGNC:815,Q01814
1236,ATP2B3,HGNC:816,Q16720
1237,ATP2B4,HGNC:817,P23634
1238,ATP2C1,HGNC:13211,P98194
1239,ATP2C2,HGNC:29103,O75185
1240,ATP4A,HGNC:819,P20648
1241,ATP4B,HGNC:820,P51164
1242,ATP5F1A,HGNC:823,P25705
1243,ATP5F1B,HGNC:830,P06576
1244,ATP5F1C,HGNC:833,P36542
1245,ATP5F1D,HGNC:837,P30049
1246,ATP5F1E,HGNC:838,P56381
1247,ATP5IF1,HGNC:871,Q9UII2
1248,ATP5MC1,HGNC:841,P05496
1249,ATP5MC2,HGNC:842,Q06055
1250,ATP5MC3,HGNC:843,P48201
1251,ATP5ME,HGNC:846,P56385
1252,ATP5MF,HGNC:848,P56134
1253,ATP5MG,HGNC:14247,O75964
1254,ATP5MGL,HGNC:13213,Q7Z4Y8
1255,ATP5MJ,HGNC:1188,P56378
1256,ATP5MK,HGNC:30889,Q96IX5
1257,ATP5PB,HGNC:840,P24539
